Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
64,0.64,0.669609,0.202248,-0.602498,-0.384337,0.912585,1.717617,-0.377356,0.024472
65,0.65,0.710538,0.297007,-0.569179,-0.288024,0.922016,1.711354,-0.379545,0.032042
66,0.66,0.647221,0.176404,-0.616684,-0.411932,0.911029,1.719695,-0.376812,0.02453
67,0.67,0.701311,0.28264,-0.579307,-0.304434,0.921248,1.712455,-0.379168,0.032059
68,0.68,0.641944,0.167954,-0.620379,-0.418126,0.910799,1.720267,-0.376496,0.024499
69,0.69,0.700564,0.278855,-0.581127,-0.306172,0.921287,1.712636,-0.378934,0.032
70,0.7,0.642998,0.166563,-0.619883,-0.417798,0.910964,1.720084,-0.376319,0.024494
71,0.71,0.702652,0.279155,-0.579566,-0.304067,0.921535,1.712338,-0.378763,0.032032
72,0.72,0.645467,0.167742,-0.618573,-0.415455,0.911216,1.71982,-0.376248,0.024537
73,0.73,0.705089,0.264094,-0.563389,-0.340142,0.923456,1.708556,-0.376816,0.024769
74,0.74,0.966185,0.077202,-0.2439,0.032236,0.93583,1.690655,-0.356157,0.025061
75,0.75,0.902446,0.24475,-0.353773,-0.023092,0.937351,1.693657,-0.36608,0.032063
76,0.76,,,,,,,,
77,0.77,0.808166,0.380202,-0.442809,-0.078958,0.938389,1.697418,-0.376828,0.031986
78,0.78,0.745334,0.254297,-0.542562,-0.292297,0.917698,1.710569,-0.376837,0.023287
79,0.79,0.749757,0.330571,-0.52655,-0.226569,0.925199,1.706937,-0.379452,0.032027
80,0.8,0.677427,0.200731,-0.598062,-0.378314,0.912997,1.717111,-0.376925,0.024495
81,0.81,0.715138,0.298161,-0.565588,-0.282466,0.922386,1.710935,-0.379347,0.032068
82,0.82,0.651099,0.178828,-0.615086,-0.407137,0.911404,1.719417,-0.376717,0.024418
83,0.83,0.703223,0.285547,-0.577733,-0.300275,0.921563,1.712236,-0.379172,0.032041
84,0.84,0.64333,0.171438,-0.619553,-0.415799,0.910994,1.720001,-0.376619,0.024469
85,0.85,0.70099,0.28202,-0.580163,-0.304119,0.921443,1.712434,-0.379066,0.031998
86,0.86,0.643263,0.16975,-0.619779,-0.416258,0.911066,1.719993,-0.376512,0.024489
87,0.87,0.702448,0.28171,-0.579336,-0.302617,0.92162,1.712299,-0.378972,0.032016
88,0.88,0.645594,0.170119,-0.618622,-0.414217,0.911278,1.719784,-0.376417,0.024528
89,0.89,0.704753,0.282446,-0.577438,-0.300187,0.921843,1.712046,-0.378893,0.032032
90,0.9,0.648153,0.170943,-0.617233,-0.411946,0.911491,1.719538,-0.376345,0.024435
91,0.91,0.70682,0.283275,-0.575872,-0.297543,0.92204,1.711817,-0.378781,0.032047
92,0.92,0.65021,0.171625,-0.616166,-0.410014,0.911661,1.719331,-0.376261,0.02446
93,0.93,0.70836,0.284103,-0.574647,-0.295454,0.922195,1.711648,-0.378742,0.031995
94,0.94,0.651922,0.172278,-0.615127,-0.408578,0.911824,1.719162,-0.376189,0.024495
95,0.95,0.709635,0.284636,-0.573492,-0.29412,0.922302,1.711539,-0.378707,0.032036
96,0.96,0.65293,0.172796,-0.614624,-0.407506,0.911873,1.719092,-0.376197,0.024471
97,0.97,0.710304,0.285065,-0.572932,-0.293181,0.922346,1.711475,-0.378699,0.032034
98,0.98,0.73531,0.351141,-0.537645,-0.216696,0.929034,1.706613,-0.380295,0.032057
99,0.99,0.690493,0.23299,-0.582236,-0.360467,0.912512,1.715572,-0.378616,0.023337
100,1,0.727214,0.318891,-0.548169,-0.262639,0.922631,1.709332,-0.380176,0.03206
101,1.01,0.742823,0.369044,-0.521819,-0.199311,0.92911,1.705361,-0.381125,0.03204
102,1.02,0.749469,0.39767,-0.504364,-0.160535,0.933136,1.702901,-0.381693,0.03208
103,1.03,0.706154,0.263944,-0.568313,-0.329698,0.914884,1.713476,-0.379412,0.023288
104,1.04,0.732942,0.333675,-0.539365,-0.246054,0.92389,1.708257,-0.380584,0.032032
105,1.05,0.744557,0.374637,-0.517959,-0.192355,0.929662,1.704915,-0.381344,0.032041
